,store,sido,gungu,store_address
0,가경동점,충청북도,청주시흥덕구,충청북도 청주시흥덕구 풍산로 103(복대동)
1,가남점,경기도,여주시,경기도 여주시 가남면 태평중앙1길 8-6
2,가래비점,경기도,양주시,경기도 양주시 광적면 가래비길 24
3,가수원점,대전광역시,서구,대전광역시 서구 벌곡로 1353번길 63
4,가양동점,서울특별시,강서구,"서울특별시 강서구 양천로57길 10-11, 101-1호 (가양동, 이스타빌2차)"
5,가오점,대전광역시,동구,대전광역시 동구 은어송로 77번길 17
6,가운점,경기도,남양주시,경기도 남양주시 가운로2길 63 가운동삼원프라자 105호
7,가장점,대전광역시,서구,대전광역시 서구 갈마로 298
8,가정지구1점,인천광역시,서구,인천광역시 서구 봉오재2로 37 104호
9,가좌3점,인천광역시,서구,인천광역시 서구 가석로156번길 23-1
10,가평역전점,경기도,가평군,경기도 가평군 가평읍 가화로 54
11,가평점,경기도,가평군,경기도 가평군 가평읍 가화로 125-1
12,가흥점,경상북도,영주시,경상북도 영주시 창진로 59
13,간성점,강원도,고성군,강원도 고성군 간성읍 간성로 45
14,간현점,강원도,원주시,강원도 원주시 지정면 간현로 188
15,갈곶원동점,경기도,오산시,경기도 오산시 오산로 68(갈곶동)
16,갈마점,대전광역시,서구,대전광역시 서구 갈마로 60(갈마동)
17,갈산점,인천광역시,부평구,인천광역시 부평구 굴포로 42
18,갈산점(이천),경기도,이천시,"경기도 이천시 갈산로 81(갈산동, 102)"
19,갈산점(홍성),충청남도,홍성군,충청남도 홍성군 갈산면 갈산로 109-1
20,감곡점,충청북도,음성군,충청북도 음성군 감곡면 장감로 142
21,강경점,충청남도,논산시,충청남도 논산시 강경읍 계백로 126-1
22,강구점,경상북도,영덕군,경상북도 영덕군 강구면 강구리 453
23,강남구청점,서울특별시,강남구,서울특별시 강남구 삼성로119길 41. 1층(삼성동)
24,강남대점,경기도,용인시기흥구,경기도 용인시기흥구 강남동로114번 22(상하동)
25,강릉교동점,강원도,강릉시,강원도 강릉시  강릉대로 269 (교동)
26,강릉서부점,강원도,강릉시,강원도 강릉시  임영로 170-3(임당동)
